NAME,NAME_EN,NAME_RU,OSM_ID,Amount of,Employees,revenue in,amount o_1,employee i,revenue _1
Viladecavalls,,,"344521",72.000000000000000,1137.000000000000000,292436926.238586485385895,22.000000000000000,927.000000000000000,252969567.840182214975357
Viver i Serrateix,,,"344523",1.000000000000000,3.000000000000000,436460.869999999995343,1.000000000000000,3.000000000000000,436460.869999999995343
Vilalba Sasserra,,,"344515",1.000000000000000,1.000000000000000,95051.157999999995809,1.000000000000000,1.000000000000000,95051.157999999995809
Montornès del Vallès,,,"344964",150.000000000000000,2587.000000000000000,670080768.891413807868958,47.000000000000000,1410.000000000000000,472312065.539187788963318
Vilanova i la Geltrú,,,"344516",287.000000000000000,2071.000000000000000,642071748.729553341865540,47.000000000000000,1004.000000000000000,139006006.281387060880661
Castellnou de Bages,,,"344379",2.000000000000000,2.000000000000000,102336.823999999993248,0.000000000000000,0.000000000000000,0.000000000000000
Figaró-Montmany,,,"344956",10.000000000000000,43.000000000000000,4882160.381066953763366,1.000000000000000,1.000000000000000,53899.985966410000401
els Hostalets de Pierola,,,"345695",23.000000000000000,103.000000000000000,16708154.506304407492280,3.000000000000000,4.000000000000000,1938967.678000000072643
Piera,,,"345699",78.000000000000000,461.000000000000000,105717034.847044080495834,13.000000000000000,32.000000000000000,14508983.207249445840716
la Llacuna,,,"345396",14.000000000000000,65.000000000000000,10159319.033999998122454,1.000000000000000,6.000000000000000,647992.520000000018626
Lluçà,,,"345406",4.000000000000000,4.000000000000000,327234.203691348957364,2.000000000000000,2.000000000000000,218326.155999999988126
Igualada,,,"345402",435.000000000000000,3454.000000000000000,577584918.849936962127686,49.000000000000000,1118.000000000000000,145293219.744083106517792
Tavertet,,,"346046",2.000000000000000,2.000000000000000,95131.726068346004467,0.000000000000000,0.000000000000000,0.000000000000000
la Nou de Berguedà,,,"345415",1.000000000000000,1.000000000000000,66189.506999999997788,0.000000000000000,0.000000000000000,0.000000000000000
Gurb,,,"345400",68.000000000000000,528.000000000000000,577205436.560443162918091,21.000000000000000,258.000000000000000,66803995.840895906090736
Òdena,,,"345423",57.000000000000000,646.000000000000000,133952612.245836406946182,9.000000000000000,108.000000000000000,15456604.862090345472097
l'Hospitalet de Llobregat,,Оспиталет-де-Льобрегат,"345401",912.000000000000000,11361.000000000000000,3129055238.733484745025635,112.000000000000000,7059.000000000000000,2394423084.425262928009033
Llinars del Vallès,,,"345398",119.000000000000000,1586.000000000000000,755072382.099020361900330,32.000000000000000,1042.000000000000000,639583695.879156351089478
Lliçà de Vall,,,"345405",193.000000000000000,2721.000000000000000,495808582.258148908615112,55.000000000000000,1533.000000000000000,301674398.236555099487305
la Pobla de Lillet,,,"345694",12.000000000000000,24.000000000000000,717661.013049092958681,0.000000000000000,0.000000000000000,0.000000000000000
Montcada i Reixac,,,"346037",333.000000000000000,4796.000000000000000,1097615387.631795883178711,78.000000000000000,1935.000000000000000,605720243.876729846000671
Santa Coloma de Cervelló,,,"345486",66.000000000000000,387.000000000000000,35616373.311395429074764,20.000000000000000,62.000000000000000,12616028.857029233127832
Mediona,,,"345816",10.000000000000000,13.000000000000000,955197.114230768871494,0.000000000000000,0.000000000000000,0.000000000000000
Monistrol de Montserrat,,,"345549",21.000000000000000,220.000000000000000,51745162.061456173658371,2.000000000000000,37.000000000000000,8568540.580000000074506
Sant Martí de Centelles,,,"345937",10.000000000000000,100.000000000000000,13853683.406000001356006,2.000000000000000,63.000000000000000,10308398.429999999701977
Monistrol de Calders,,,"345806",4.000000000000000,5.000000000000000,349575.544999999983702,1.000000000000000,1.000000000000000,41592.741999999998370
Navarcles,,,"345999",51.000000000000000,273.000000000000000,46564046.845171675086021,4.000000000000000,118.000000000000000,25054385.639638692140579
Gelida,,,"346615",46.000000000000000,195.000000000000000,38756550.091228194534779,8.000000000000000,23.000000000000000,9337792.408912360668182
Mollet del Vallès,,,"345553",214.000000000000000,2221.000000000000000,1266801058.432947874069214,43.000000000000000,1132.000000000000000,444676336.686752140522003
Molins de Rei,,,"345583",182.000000000000000,1315.000000000000000,287441012.393464922904968,37.000000000000000,426.000000000000000,137281438.750335544347763
